Title,Year,User Score,Description,Directors,Screenplay,Genres,Revenue
John Wick: Chapter 4,2023-03-23 (DE),77%,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",Chad Stahelski,"Shay Hatten, Michael Finch","Action, Thriller, Crime","$440,157,245.00"
Daddy's Head,2024-09-22 (US),57%,A boy and his stepmother fear for their safety after an eerie creature resembling the boy's recently deceased father visits them.,Benjamin Barfoot,Benjamin Barfoot,Horror,
Hunting Games,2023-05-12 (US),42%,"When a group of ex-military members is hired to retrieve a lost bag of stolen money, their mission becomes more difficult after a lone hunter finds the bag first.",Justin Lee,Justin Lee,"Action, Thriller, TV Movie",
The Bad Guys: Haunted Heist,2024-10-03 (DE),73%,The crafty Bad Guys crew embarks on a high-stakes Halloween heist to swipe a priceless amulet from a spooky mansion. What could go wrong?,Kevin Peaty,Ben Glass,"Animation, Comedy",
Despicable Me 4,2024-07-11 (DE),71%,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",Chris Renaud,"Mike White, Ken Daurio","Animation, Family, Comedy, Action","$953,140,610.00"
House of Spoils,2024-10-03 (DE),56%,"An ambitious chef opens a restaurant on a remote estate where she battles kitchen chaos, crushing self doubts… and a haunting presence who threatens to sabotage her at every turn.","Danielle Krudy, Bridget Savage Cole",,"Horror, Thriller",
Tatsulok: Tatlo Magkasalo,2024-10-11 (PH),70%,"Story about a happily married couple visited by an old friend, who ends up stirring the pot by becoming sexually involved with both the husband and the wife.",Jojo Nadela,,"Drama, Romance",
King of Killers,2023-10-20 (DE),65%,"Garan is a part of a group of international hitmen who are contracted to take out the most dangerous killer in the world, only to find out that they're the ones being hunted.",Kevin Grevioux,Kevin Grevioux,"Action, Thriller",
Borderlands,2024-08-22 (DE),59%,"Returning to her home planet, an infamous bounty hunter forms an unexpected alliance with a team of unlikely heroes. Together, they battle monsters and dangerous bandits to protect a young girl who holds the key to unimaginable power.",Eli Roth,,"Action, Science Fiction, Comedy","$30,863,794.00"
Prey,2024-08-30 (DE),63%,A young couple is compelled to leave their Christian missionary station in the Kalahari Desert after being threatened with death by an extremist militant gang. After crashing their aircraft they must battle man and beast for their lives.,Mukunda Michael Dewil,Mukunda Michael Dewil,"Action, Thriller, Horror",
Rebel Ridge,2024-09-06 (DE),70%,A former Marine confronts corruption in a small town when local law enforcement unjustly seizes the bag of cash he needs to post his cousin's bail.,Jeremy Saulnier,Jeremy Saulnier,"Crime, Action, Thriller, Drama",
Female Ninjas Magic Chronicles 2: Secret of the Christian Bells,1992-08-21 (JP),70%,The Shogun wants a large shipment of gold that the Catholic church sent to help Christianity get a foothold in Japan and the secret to its location is written on five bells hidden in the vaginas of five female ninjas.,Masaru Tsushima,,Action,
The Platform 2,2024-10-04 (DE),57%,"After a mysterious leader imposes his law in a brutal system of vertical cells, a new arrival battles against a dubious food distribution method.",Galder Gaztelu-Urrutia,,"Science Fiction, Horror",
Caddo Lake,2024-10-10 (US),74%,"When an 8-year-old girl mysteriously vanishes, a series of past deaths and disappearances begins to link together.","Celine Held, Logan George",,"Thriller, Mystery, Drama",
Coraline,2009-08-12 (DE),79%,"Wandering her rambling old house in her boring new town, 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice.",Henry Selick,,"Animation, Family, Fantasy","$172,750,668.00"
Japanese Mom,2017-02-09 (KR),59%,"""Innocent face, D-cup breasts and perfect intercourse skills! Son, this is not your girlfriend anymore but your mother!""  Ki-ho brings Yuki from Japan to marry her. However, he starts cheating on her with his ex-girlfriend in Korea.  Min-cheol comforted Yuki and thought of her as his daughter-in-law, but one day he realizes he is looking at her as a woman.  In the end, Yuki and Min-cheol have intercourse without Ki-ho knowing...",Kim Moo-won,,"Romance, Drama",
Kelas Bintang - Hot Moms,2023-02-09 (ID),100%,We don't have an overview translated in English. Help us expand our database by adding one.,,,"Drama, Romance",
Temurun,2024-10-11 (DE),65%,"After their mother dies during a violent break-in, two siblings move in with their estranged father discover their family's sinister heritage.",Inarah Syarafina,Vontian Suwandi,"Horror, Thriller",
The Shawshank Redemption,1995-03-09 (DE),87%,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",Frank Darabont,,"Drama, Crime","$28,341,469.00"
Transformers: Rise of the Beasts,2023-06-08 (DE),73%,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",Steven Caple Jr.,,"Science Fiction, Adventure, Action","$439,000,000.00"
Lonely Planet,2024-10-11 (DE),60%,"At an idyllic writers retreat in Morocco, a newly single novelist finds an unexpected connection with a younger man who's reevaluating his life choices.",Susannah Grant,Susannah Grant,"Romance, Drama",
Wolfs,2024-09-27 (DE),66%,"Hired to cover up a high-profile crime, a fixer soon finds his night spiralling out of control when he's forced to work with an unexpected counterpart.",Jon Watts,Jon Watts,"Comedy, Thriller, Action",
Bangkok Breaking: Heaven and Hell,2024-09-26 (DE),65%,"When a dedicated rescue worker inadvertently gets caught up in the kidnapping plot of a mogul's tween daughter, he must save her from the clutches of rival gangs hunting them down with unpredictable dangers around every corner.",Kongkiat Khomsiri,,"Action, Crime, Drama, Thriller",
A Quiet Place: Day One,2024-06-27 (DE),68%,"As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive with her cat.",Michael Sarnoski,,"Horror, Science Fiction, Thriller","$260,894,737.00"
My Hero Academia: You're Next,2024-10-29 (DE),71%,"In a society devastated by the effects of an all-out war between heroes and villains, a mysterious giant fortress suddenly appears, engulfing towns and people one after another. Then, a man reminiscent of All Might, the 'symbol of peace', stands in front of Izuku and his friends...",Tensai Okamura,,"Animation, Action, Adventure, Science Fiction","$30,568,047.00"
Twisters,2024-07-17 (DE),70%,"As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.",Lee Isaac Chung,,"Action, Adventure, Thriller","$369,590,675.00"
The Watchers,2024-06-06 (DE),65%,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night.",Ishana Night Shyamalan,Ishana Night Shyamalan,"Horror, Mystery, Thriller","$51,147,812.00"
Avatar: The Way of Water,2022-12-14 (DE),76%,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",James Cameron,,"Science Fiction, Adventure, Action","$2,320,250,281.00"
The Maze Runner,2014-10-16 (DE),72%,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape.",Wes Ball,,"Action, Mystery, Science Fiction, Thriller","$348,319,861.00"
Venom: Let There Be Carnage,2021-10-21 (DE),68%,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",Andy Serkis,,"Science Fiction, Action, Adventure","$506,863,592.00"
The Crow,2024-09-12 (DE),58%,"Soulmates Eric and Shelly are brutally murdered when the demons of her dark past catch up with them. Given the chance to save his true love by sacrificing himself, Eric sets out to seek merciless revenge on their killers, traversing the worlds of the living and the dead to put the wrong things right.",Rupert Sanders,,"Action, Fantasy, Horror","$13,690,814.00"
An Ideal Father,2024-04-21 (BE),64%,"Michel, the jovial owner of the only café in a small Normandy town, sees his life turned upside down when his teenage daughter is murdered. The community has his back but soon rumor spreads and Michel is singled out. From the ideal father, he becomes the ideal culprit.",Hélène Fillières,,"Drama, TV Movie",
Longlegs,2024-08-08 (DE),67%,"FBI Agent Lee Harker is assigned to an unsolved serial killer case that takes an unexpected turn, revealing evidence of the occult. Harker discovers a personal connection to the killer and must stop him before he strikes again.",Osgood Perkins,Osgood Perkins,"Horror, Crime","$102,469,694.00"
Kung Fu Panda 4,2024-03-14 (DE),71%,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",Mike Mitchell,"Darren Lemke, Jonathan Aibel, Glenn Berger","Animation, Family, Fantasy, Action","$543,900,620.00"
The Forge,2024-08-23 (US),81%,"19 year old Isaiah Wright lives for basketball and video games. A year out of high school, he has no job, no plans, and no idea how to be a man. At odds with his single mother Cynthia, Isaiah is given an ultimatum – to step up or move out. Feeling the pull from his friends and the push from his mom, Isaiah is hired by Moore Fitness, unaware of how the owner will personally impact his life. With the prayers of his mother and unexpected guidance from his new mentor, Isaiah is forced to deal with his past, sacrifice his selfishness and discover how God might have a greater purpose for his life.",Alex Kendrick,"Alex Kendrick, Stephen Kendrick","Drama, Family","$35,329,740.00"
